Colours,VoteStatusIndicator,Lever,Lamps (Vote Marker),Triggers (Lamp piston),Chair,Sign,Clone point,Home Outside,Home Inside
Black,1 -30 -10,1 -29 -10,2 -29 -8,2 -32 -8,-1 -29 -12,-1 -29 -11,-15 -37 -26,-16 -21 -51,-19 -20 -54
Orange,10 -30 -10,10 -29 -10,8 -29 -8,8 -32 -8,12 -29 -12,11 -29 -11,,30 -28 -45,34 -28 -45
Pink,13 -30 -6,13 -29 -6,11 -29 -5,11 -32 -5,15 -29 -8,14 -29 -8,,59 -24 -36,59 -23 -39
Red,14 -30 -2,14 -29 -2,12 -29 -2,12 -32 -2,16 -29 -2,15 -29 -2,,54 -29 -12,57 -29 -12
Purple,13 -30 2,13 -29 2,11 -29 1,11 -32 1,15 -29 4,14 -29 4,,79 -16 6,82 -16 6
Brown,9 -30 6,9 -29 6,8 -29 4,8 -32 4,11 -29 8,11 -29 7,,37 -28 43,40 -28 43
Green,5 -30 7,5 -29 7,5 -29 5,5 -32 5,5 -29 9,5 -29 8,,32 -29 66,33 -28 71
White,1 -30 6,1 -29 6,2 -29 4,2 -32 4,-1 -29 8,-1 -29 7,,-26 -14 72,-26 -14 74
Blue,-3 -30 2,-3 -29 2,-1 -29 1,-1 -32 1,-5 -29 4,-4 -29 4,,-1 -29 59,-1 -29 61
Cyan,-4 -30 -2,-4 -29 -2,-2 -29 -2,-2 -32 -2,-6 -29 -2,-5 -29 -2,,-35 -28 34,-38 -28 34
Grey,-3 -30 -6,-3 -29 -6,-1 -29 -5,-1 -32 -5,-5 -29 -8,-4 -29 -8,,-24 -25 -30.5,-27 -25 -30.5
