Colours,VoteStatusIndicator,Lever,Lamps (Vote Marker),Triggers (Lamp piston),Chair,Sign,Home Outside,Home Inside
black,447 4 172,447 5 172,450 11 152,450 11 149,447 5 174,447 6 175,443 9 192,443 9 190
yellow,452 4 173,452 5 173,453 11 152,453 11 149,452 5 175,452 6 176,455 9 196,455 9 198
orange,458 4 173,458 5 173,457 11 152,457 11 149,458 5 175,458 6 176,467 9 192,467 9 190
pink,463 4 172,463 5 172,460 11 152,460 11 149,463 5 174,463 6 175,472 9 197,474 9 197
red,447 3 168,447 4 168,450 8 152,450 8 149,447 4 170,447 5 171,472 9 209,474 9 209
purple,452 3 169,452 4 169,453 8 152,453 8 149,452 4 171,452 5 172,472 9 221,474 9 221
brown,458 3 169,458 4 169,457 8 152,457 8 149,458 4 171,458 5 172,467 9 226,467 9 228
green,463 3 168,463 4 168,460 8 152,460 8 149,463 4 170,463 5 171,455 9 222,455 9 220
white,447 2 164,447 3 164,450 5 152,450 5 149,447 3 166,447 4 167,443 9 226,443 9 228
blue,452 2 165,452 3 165,453 5 152,453 5 149,452 3 167,452 4 168,438 9 221,436 9 221
cyan,458 2 165,458 3 165,457 5 152,457 5 149,458 3 167,458 4 168,438 9 209,436 9 209
gray,463 2 164,463 3 164,460 5 152,460 5 149,463 3 166,463 4 167,438 9 197,436 9 197
